,Loss,Correct,Accuracy
183,0.5290237682295356,49977.0,0.99954
184,0.6547232976881787,49973.0,0.99946
185,0.45846987240724957,49986.0,0.99972
186,0.45688272542292907,49980.0,0.9996
187,0.6174398649259274,49981.0,0.99962
188,0.3871061645204463,49986.0,0.99972
189,0.626805929260172,49972.0,0.99944
190,0.738832497160729,49969.0,0.99938
191,0.5724464638851714,49975.0,0.9995
192,0.42265057527356475,49988.0,0.99976
193,0.3884137691184151,49989.0,0.99978
194,0.45141791204378023,49981.0,0.99962
195,0.3915121664704202,49985.0,0.9997
196,0.5116207178352852,49980.0,0.9996
197,0.4766709003442884,49977.0,0.99954
198,0.6202961507560758,49978.0,0.99956
199,0.5174313874454128,49979.0,0.99958
