,Loss,Correct,Accuracy
74,44.137223709374666,48047.0,0.96094
75,44.58371932245791,48003.0,0.96006
76,41.889979330822825,48175.0,0.9635
77,40.75916002690792,48199.0,0.96398
78,41.56825979053974,48187.0,0.96374
79,39.008220955729485,48267.0,0.96534
80,37.62344663590193,48353.0,0.96706
81,39.68111931160092,48237.0,0.96474
82,36.42847144603729,48407.0,0.96814
83,35.77856971696019,48385.0,0.9677
84,33.33524079807103,48526.0,0.97052
85,33.66169266588986,48463.0,0.96926
86,31.52924885135144,48577.0,0.97154
87,32.94675204344094,48554.0,0.97108
88,29.311109366826713,48728.0,0.97456
89,31.037144286558032,48616.0,0.97232
90,29.985723504796624,48666.0,0.97332
91,28.545491037890315,48787.0,0.97574
92,27.939803866669536,48814.0,0.97628
93,26.9767258008942,48825.0,0.9765
94,25.2981179645285,48893.0,0.97786
95,25.254421280696988,48909.0,0.97818
96,23.16404192056507,48993.0,0.97986
97,23.45759085379541,48951.0,0.97902
98,21.90755084529519,49064.0,0.98128
99,21.88513937406242,49043.0,0.98086
100,21.996498491615057,49086.0,0.98172
101,21.79369012825191,49055.0,0.9811
102,19.993028632365167,49160.0,0.9832
103,19.465785340871662,49155.0,0.9831
104,20.27748786378652,49142.0,0.98284
105,19.030412576626986,49197.0,0.98394
106,16.820357974153012,49287.0,0.98574
107,15.912666651885957,49319.0,0.98638
108,16.457563932053745,49313.0,0.98626
109,16.771775477100164,49303.0,0.98606
110,14.604662566445768,49398.0,0.98796
111,14.233568558003753,49391.0,0.98782
112,14.237909080926329,49428.0,0.98856
113,15.29447222687304,49350.0,0.987
114,13.60188896767795,49429.0,0.98858
115,13.630942006362602,49429.0,0.98858
116,13.863303006626666,49443.0,0.98886
117,11.611023235600442,49523.0,0.99046
118,11.457045579561964,49533.0,0.99066
119,11.892873383359984,49496.0,0.98992
120,12.809443874750286,49464.0,0.98928
121,10.868401832180098,49570.0,0.9914
122,11.347095991950482,49521.0,0.99042
123,10.452324365731329,49576.0,0.99152
124,8.917360064340755,49630.0,0.9926
125,9.126438606297597,49624.0,0.99248
126,8.456870079622604,49672.0,0.99344
127,9.306344144279137,49608.0,0.99216
128,9.071678819600493,49645.0,0.9929
129,8.253906244179234,49689.0,0.99378
130,6.902110480470583,49742.0,0.99484
131,7.229730982566252,49718.0,0.99436
132,7.082857362693176,49720.0,0.9944
133,6.741641883039847,49751.0,0.99502
134,6.888745388598181,49735.0,0.9947
135,6.249780913931318,49757.0,0.99514
136,6.5920486386166885,49748.0,0.99496
137,6.0595135557232425,49768.0,0.99536
138,5.5255065388046205,49772.0,0.99544
139,5.2218796473462135,49819.0,0.99638
140,5.289746850263327,49808.0,0.99616
141,4.04774782131426,49866.0,0.99732
142,5.1649183731060475,49798.0,0.99596
143,4.856807097210549,49848.0,0.99696
144,4.422336269286461,49836.0,0.99672
145,5.049321698024869,49803.0,0.99606
146,4.296667133807205,49849.0,0.99698
147,3.440288046025671,49879.0,0.99758
148,4.243515607784502,49843.0,0.99686
149,3.469772964483127,49870.0,0.9974
150,3.128242505597882,49897.0,0.99794
151,3.320506401883904,49889.0,0.99778
152,3.0960223701549694,49909.0,0.99818
153,3.1032005376182497,49900.0,0.998
154,3.4496460560476407,49882.0,0.99764
155,2.64793893112801,49926.0,0.99852
156,2.755718014726881,49909.0,0.99818
157,2.773216207511723,49910.0,0.9982
158,2.058321538672317,49946.0,0.99892
159,2.0204729690449312,49937.0,0.99874
160,1.8327328076120466,49954.0,0.99908
161,2.175115734396968,49931.0,0.99862
162,2.483654171868693,49911.0,0.99822
163,2.440724509768188,49906.0,0.99812
164,2.4800640987232327,49924.0,0.99848
165,2.002021070686169,49946.0,0.99892
166,1.8241422942373902,49949.0,0.99898
167,1.61759678425733,49947.0,0.99894
168,1.8352633237373084,49946.0,0.99892
169,1.4872081031790003,49963.0,0.99926
170,1.601874556101393,49958.0,0.99916
171,1.4281853971770033,49966.0,0.99932
172,1.38009439810412,49965.0,0.9993
173,1.4494775886414573,49963.0,0.99926
174,1.624390801996924,49957.0,0.99914
175,1.5429732031770982,49964.0,0.99928
176,1.4100442245835438,49965.0,0.9993
177,1.3264898508787155,49968.0,0.99936
178,1.1645914482069202,49978.0,0.99956
179,1.015567947702948,49980.0,0.9996
180,1.051918458135333,49981.0,0.99962
181,0.988557918171864,49980.0,0.9996
182,1.0552839752635919,49984.0,0.99968
183,1.1360228809644468,49975.0,0.9995
184,1.0980975306592882,49976.0,0.99952
185,1.175432977208402,49973.0,0.99946
186,1.3690692224772647,49962.0,0.99924
187,0.9642162306117825,49980.0,0.9996
188,0.9625537242973223,49986.0,0.99972
189,0.8115438192035072,49988.0,0.99976
190,0.9355407249531709,49986.0,0.99972
191,0.8212102525867522,49987.0,0.99974
192,0.9458938271272928,49987.0,0.99974
193,0.9350014138617553,49982.0,0.99964
194,0.8440554671688005,49989.0,0.99978
195,0.7449703746242449,49991.0,0.99982
196,0.673286970355548,49995.0,0.9999
197,0.6548740700818598,49996.0,0.99992
198,0.6924086841754615,49995.0,0.9999
199,0.8005871774512343,49991.0,0.99982
